"","Gender","Smoke","Marijuan","DrivDrnk","GPA","PartyNum","DaysBeer","StudyHrs","GPA.cat"
"1","female","No","Yes","Yes",3.4,4,6,7,"moderate"
"2","female","No","No","No",3.45,4,0,20,"moderate"
"3","male","No","No","Yes",3.89,9,4,30,"high"
"4","female","No","No","No",3.75,6,3,12,"high"
"5","male","Yes","Yes","Yes",2.3,10,15,14,"Low"
"6","female","Yes","Yes","No",2.8,2,5,10,"Low"
"7","male","No","No","No",2.7,8,0,15,"Low"
"8","female","No","No","No",2.6,5,5,25,"Low"
"9","female","No","Yes","Yes",1.87,16,20,6,"Low"
"10","female","No","No","No",2.74,0,2,10,"Low"
"11","female","No","No","Yes",2,6,10,8,"Low"
"12","female","No","No","No",3,2,4,20,"moderate"
"13","male","No","Yes","No",3.2,1,3,2,"moderate"
"14","female","No","Yes","Yes",3,10,12,10,"moderate"
"15","female","No","Yes","Yes",3.55,12,9,11,"high"
"16","female","No","No","No",NA,4,0,16,NA
"17","female","No","No","No",NA,6,0,14,NA
"18","female","No","Yes","Yes",2.7,9,8,9,"Low"
"19","male","No","No","No",3.2,2,2,15,"moderate"
"20","male","No","No","Yes",3,4,8,8,"moderate"
"21","female","No","No","No",3.5,8,8,20,"high"
"22","female","No","Yes","No",3.56,6,6,12,"high"
"23","male","No","No","No",3.6,NA,8,20,"high"
"24","female","No","No","No",3,7,6,15,"moderate"
"25","female","No","Yes","Yes",NA,10,10,15,NA
"26","female","No","Yes","No",2.67,7,2,10,"Low"
"27","female","Yes","No","Yes",3.5,12,12,30,"high"
"28","male","No","No","Yes",3,1,3,25,"moderate"
"29","male","No","Yes","No",3.4,3,8,10,"moderate"
"30","male","Yes","Yes","Yes",2.7,12,28,25,"Low"
"31","female","No","Yes","Yes",3.36,8,10,7,"moderate"
"32","male","No","No","Yes",2.8,4,5,20,"Low"
"33","male","No","Yes","No",3.2,3,2,15,"moderate"
"34","female","No","No","No",3,2,0,4,"moderate"
"35","female","No","No","No",3.2,8,8,15,"moderate"
"36","female","No","Yes","Yes",3,7,11,10,"moderate"
"37","male","Yes","Yes","Yes",3.3,10,15,3,"moderate"
"38","female","Yes","Yes","Yes",3.11,NA,10,10,"moderate"
"39","female","No","No","No",3.5,3,0,55,"high"
"40","female","No","No","No",3.3,2,4,30,"moderate"
"41","female","Yes","Yes","Yes",3.2,5,10,15,"moderate"
"42","female","No","No","No",3.4,9,0,15,"moderate"
"43","male","No","No","No",3.81,5,4,50,"high"
"44","female","No","Yes","No",3.86,7,6,10,"high"
"45","male","Yes","No","Yes",2.97,3,5,14,"Low"
"46","female","No","Yes","No",3.6,3,8,6,"high"
"47","female","No","No","No",3.3,0,0,9,"moderate"
"48","female","Yes","Yes","Yes",3.5,13,13,12,"high"
"49","female","No","No","No",2.4,0,3,6,"Low"
"50","female","Yes","Yes","No",3.5,5,8,15,"high"
"51","female","No","No","No",2.8,2,0,20,"Low"
"52","male","No","No","No",3,10,10,6,"moderate"
"53","male","No","No","Yes",2.8,8,8,30,"Low"
"54","female","Yes","Yes","Yes",2,4,15,10,"Low"
"55","female","Yes","Yes","Yes",2.94,7,9,10,"Low"
"56","female","No","Yes","No",3.3,10,10,12,"moderate"
"57","female","No","No","No",3.34,12,12,20,"moderate"
"58","male","No","No","No",3.23,2,0,6,"moderate"
"59","male","No","No","Yes",3.48,15,24,23,"moderate"
"60","female","No","Yes","No",3,14,13,20,"moderate"
"61","female","Yes","Yes","Yes",2.33,10,20,5,"Low"
"62","female","No","Yes","Yes",3.2,5,4,7,"moderate"
"63","female","No","No","No",3,10,3,24,"moderate"
"64","female","No","Yes","No",3.88,13,12,18,"high"
"65","male","No","No","No",2.5,1,1,6,"Low"
"66","female","Yes","Yes","Yes",2.87,9,15,6,"Low"
"67","female","No","No","No",3.4,4,6,12,"moderate"
"68","female","No","Yes","Yes",3.7,5,10,20,"high"
"69","female","Yes","Yes","Yes",2.78,6,8,15,"Low"
"70","female","No","Yes","Yes",2.7,14,12,14,"Low"
"71","female","Yes","Yes","No",2.5,8,10,10,"Low"
"72","female","Yes","Yes","Yes",3.58,6,3,8,"high"
"73","female","No","Yes","Yes",3.53,16,18,7,"high"
"74","female","No","No","Yes",3.09,8,10,30,"moderate"
"75","female","No","No","No",3.53,0,0,6,"high"
"76","male","Yes","Yes","Yes",2.5,4,6,5,"Low"
"77","female","No","No","No",3,8,0,35,"moderate"
"78","male","No","Yes","Yes",3.54,NA,10,10,"high"
"79","female","Yes","Yes","Yes",2.2,16,16,15,"Low"
"80","female","No","No","No",2.65,9,9,6,"Low"
"81","male","Yes","No","No",3.1,9,7,14,"moderate"
"82","female","No","Yes","Yes",3.5,0,0,7,"high"
"83","male","No","No","No",3.4,5,4,15,"moderate"
"84","female","No","No","No",3.33,2,0,41,"moderate"
"85","female","Yes","No","No",3.26,5,5,10,"moderate"
"86","male","No","Yes","Yes",2.7,0,5,3,"Low"
"87","male","No","No","No",2.1,8,15,18,"Low"
"88","male","No","No","Yes",3.25,12,0,24,"moderate"
"89","male","No","No","No",3.25,8,10,5,"moderate"
"90","male","No","Yes","No",3.895,5,5,16,"high"
"91","female","No","No","No",2.7,5,4,45,"Low"
"92","female","No","Yes","No",3.65,5,4,18,"high"
"93","male","No","No","No",2.07,4,1,12,"Low"
"94","female","No","Yes","No",3,4,10,20,"moderate"
"95","female","No","No","No",3.56,8,8,12,"high"
"96","female","No","No","Yes",3.36,7,7,17,"moderate"
"97","female","Yes","Yes","Yes",2.8,10,20,6,"Low"
"98","male","No","No","Yes",3.5,1,1,6,"high"
"99","male","No","Yes","No",2.86,12,20,8,"Low"
"100","female","No","No","No",NA,8,8,7,NA
"101","female","Yes","Yes","No",3.1,5,7,10,"moderate"
"102","female","No","Yes","No",3.2,12,9,30,"moderate"
"103","male","No","Yes","Yes",3.55,8,9,10,"high"
"104","female","Yes","Yes","No",2.4,20,10,15,"Low"
"105","female","No","Yes","Yes",3.98,NA,9,28,"high"
"106","male","No","Yes","Yes",2.75,20,20,10,"Low"
"107","male","No","Yes","No",3.14,15,15,5,"moderate"
"108","female","No","No","No",3.65,9,9,20,"high"
"109","female","No","No","No",3.2,8,10,20,"moderate"
"110","male","No","No","No",3.917,0,0,14,"high"
"111","female","No","No","Yes",3.6,1,5,10,"high"
"112","female","No","Yes","No",3.69,6,6,12,"high"
"113","female","No","No","No",NA,3,0,30,NA
"114","female","No","No","No",2.8,8,8,5,"Low"
"115","female","No","No","No",3.25,5,0,15,"moderate"
"116","male","No","Yes","Yes",2.21,15,20,5,"Low"
"117","male","No","Yes","No",3.5,0,1,35,"high"
"118","female","No","No","Yes",3.7,9,8,30,"high"
"119","male","No","No","No",2.58,15,10,9,"Low"
"120","female","No","Yes","No",3.49,5,5,8,"moderate"
"121","male","No","Yes","Yes",3.23,12,14,12,"moderate"
"122","male","No","No","No",3.4,6,8,15,"moderate"
"123","male","No","Yes","Yes",2.9,20,22,24,"Low"
"124","female","No","No","No",3.9,7,4,20,"high"
"125","female","No","Yes","Yes",3.84,5,5,7,"high"
"126","male","Yes","Yes","No",2.2,7,7,24,"Low"
"127","female","No","No","No",3.7,7,4,15,"high"
"128","male","No","No","No",4.01,4,4,10,"high"
"129","female","No","Yes","Yes",3.33,10,10,25,"moderate"
"130","female","Yes","No","Yes",2.9,10,0,8,"Low"
"131","female","No","No","Yes",2.7,13,13,21,"Low"
"132","female","No","Yes","Yes",3.8,10,10,10,"high"
"133","female","No","No","No",2.04,1,0,10,"Low"
"134","female","No","No","Yes",3.75,2,0,12,"high"
"135","female","No","No","No",2.98,12,10,30,"Low"
"136","female","No","Yes","Yes",2.7,16,6,18,"Low"
"137","male","Yes","No","Yes",2.6,4,4,10,"Low"
"138","female","Yes","Yes","Yes",3,15,28,30,"moderate"
"139","male","No","No","Yes",2.01,8,4,30,"Low"
"140","male","Yes","Yes","Yes",3.5,10,14,14,"high"
"141","male","Yes","Yes","Yes",2.65,12,12,10,"Low"
"142","male","No","No","No",2.5,0,0,10,"Low"
"143","female","No","No","No",2.98,1,0,8,"Low"
"144","male","No","No","No",3.64,7,6,18,"high"
"145","male","Yes","Yes","Yes",3,12,20,20,"moderate"
"146","female","No","No","No",3.65,8,8,15,"high"
"147","male","No","No","No",3.2,3,2,30,"moderate"
"148","male","No","No","Yes",2.67,13,13,5,"Low"
"149","male","Yes","Yes","Yes",2.7,1,3,10,"Low"
"150","male","Yes","Yes","Yes",2.89,25,25,8,"Low"
"151","female","No","Yes","Yes",3.6,20,25,8,"high"
"152","male","Yes","Yes","Yes",2.04,5,5,4,"Low"
"153","female","No","No","Yes",3.7,6,8,12,"high"
"154","male","No","Yes","Yes",2.33,20,15,15,"Low"
"155","female","No","No","No",3.2,15,4,10,"moderate"
"156","female","No","No","No",3,2,8,19,"moderate"
"157","male","Yes","Yes","Yes",2.68,12,12,15,"Low"
"158","female","No","No","No",3.63,10,15,7,"high"
"159","female","No","No","No",3.93,14,11,9,"high"
"160","female","Yes","No","No",2.83,9,9,10,"Low"
"161","female","No","Yes","No",3.3,5,10,15,"moderate"
"162","male","No","No","No",3.7,20,10,20,"high"
"163","male","No","No","No",3.67,6,6,20,"high"
"164","female","No","No","No",2.91,5,0,13,"Low"
"165","female","Yes","Yes","Yes",3.6,12,12,21,"high"
"166","male","No","Yes","Yes",3.85,6,5,12,"high"
"167","female","No","No","Yes",3.59,7,8,18,"high"
"168","male","Yes","Yes","Yes",2.6,10,13,24,"Low"
"169","female","No","No","No",3.3,2,2,8,"moderate"
"170","male","No","Yes","Yes",2.88,12,14,3,"Low"
"171","male","No","Yes","Yes",2.7,15,13,10,"Low"
"172","female","No","Yes","Yes",3.1,10,10,15,"moderate"
"173","female","No","No","Yes",2.6,10,8,25,"Low"
"174","male","No","Yes","Yes",3.7,4,13,10,"high"
"175","male","Yes","No","No",3.3,0,0,50,"moderate"
"176","male","No","Yes","Yes",2.67,20,12,15,"Low"
"177","male","No","Yes","Yes",2.6,11,13,14,"Low"
"178","male","No","Yes","No",3.2,14,8,4,"moderate"
"179","male","No","No","Yes",3.8,6,8,40,"high"
"180","female","No","No","No",3.28,10,8,15,"moderate"
"181","male","No","No","No",3.62,10,10,10,"high"
"182","female","No","No","No",3.31,7,0,21,"moderate"
"183","male","No","No","Yes",2.65,12,25,10,"Low"
"184","male","No","Yes","Yes",3,5,10,25,"moderate"
"185","male","No","Yes","Yes",2.9,15,18,4,"Low"
"186","male","No","No","No",3.5,3,0,60,"high"
"187","female","No","No","No",2.8,0,0,7,"Low"
"188","male","Yes","Yes","Yes",2.5,31,18,24,"Low"
"189","male","No","Yes","No",3.48,8,8,12,"moderate"
"190","female","No","No","Yes",3.1,2,1,19,"moderate"
"191","male","No","No","No",3.16,0,0,12,"moderate"
"192","male","No","No","Yes",NA,5,0,10,NA
"193","female","No","No","No",3.9,0,0,15,"high"
"194","female","No","No","No",2.77,4,6,10,"Low"
"195","male","No","No","No",3.4,3,4,6,"moderate"
"196","male","No","No","Yes",3.04,13,20,15,"moderate"
"197","female","No","Yes","No",3.43,6,3,10,"moderate"
"198","male","No","No","No",2.34,5,6,5,"Low"
"199","male","No","Yes","Yes",2.5,6,8,10,"Low"
"200","male","No","No","No",2.84,9,10,10,"Low"
"201","male","No","Yes","Yes",2.5,8,7,15,"Low"
"202","female","No","Yes","No",2.5,15,31,5,"Low"
"203","male","No","No","No",2.7,8,10,5,"Low"
"204","female","No","No","No",3.3,2,0,5,"moderate"
"205","female","No","No","No",2.5,3,3,25,"Low"
"206","female","No","No","No",3.75,0,0,25,"high"
"207","female","No","No","No",3.6,7,7,32,"high"
"208","female","No","No","Yes",4,0,0,12,"high"
"209","female","Yes","Yes","Yes",3,12,12,35,"moderate"
"210","female","No","No","No",3.61,4,4,7,"high"
"211","male","Yes","Yes","Yes",3.54,10,12,15,"high"
"212","female","Yes","No","Yes",3.4,5,10,4,"moderate"
"213","female","No","Yes","No",3,8,0,20,"moderate"
"214","female","No","Yes","No",3.15,7,15,12,"moderate"
"215","male","No","Yes","Yes",3.65,12,6,20,"high"
"216","female","Yes","Yes","Yes",2.9,25,20,7,"Low"
"217","male","No","Yes","Yes",2.6,16,20,8,"Low"
"218","female","No","No","No",3.1,0,2,14,"moderate"
"219","female","No","No","No",2.9,3,3,4,"Low"
"220","male","Yes","Yes","Yes",2.9,4,6,4,"Low"
"221","male","No","Yes","Yes",2.8,15,15,6,"Low"
"222","female","No","No","No",2.7,NA,6,20,"Low"
"223","female","No","Yes","Yes",3.88,9,11,20,"high"
"224","female","No","No","No",3.6,2,0,20,"high"
"225","female","Yes","Yes","No",3.35,10,10,20,"moderate"
"226","male","No","No","No",4,2,2,15,"high"
"227","female","Yes","Yes","Yes",3.32,25,13,21,"moderate"
"228","female","No","Yes","Yes",3,12,12,5,"moderate"
"229","male","No","Yes","Yes",2.8,5,24,10,"Low"
"230","female","No","No","Yes",3.28,10,12,10,"moderate"
"231","female","Yes","No","Yes",2.5,0,1,15,"Low"
"232","female","No","Yes","No",3.5,8,8,25,"high"
"233","male","No","Yes","Yes",3.17,10,15,20,"moderate"
"234","male","No","No","Yes",3,12,10,6,"moderate"
"235","female","No","No","No",3.9,8,0,20,"high"
"236","male","Yes","Yes","Yes",3.2,8,4,20,"moderate"
"237","male","No","Yes","Yes",3.1,12,15,10,"moderate"
"238","male","Yes","Yes","Yes",3.2,20,31,5,"moderate"
"239","male","Yes","Yes","Yes",2.07,14,16,10,"Low"
"240","female","Yes","Yes","Yes",2.67,10,7,20,"Low"
"241","female","No","Yes","Yes",NA,12,15,18,NA
"242","male","No","No","Yes",3.44,4,8,15,"moderate"
"243","female","Yes","No","Yes",2.2,8,8,2,"Low"
"244","male","No","Yes","Yes",2.8,15,20,10,"Low"
"245","female","No","No","No",4,4,0,10,"high"
"246","male","No","Yes","Yes",3.6,12,12,15,"high"
"247","female","No","No","Yes",4,15,12,40,"high"
"248","male","No","No","Yes",3.4,10,12,15,"moderate"
"249","male","No","No","No",3.79,3,2,25,"high"
